Timestamp,Model,Feature,MSE,R-Squared,Pearson Correlation
2024-04-11 10:57:46.514991,Bayesian Ridge,hfd,27.618709239609665,-4.081209403983266e-06,-0.04714967368438143
2024-04-11 10:57:46.518416,Linear Regression,hfd,27.66336810547952,-0.001621066555989037,-0.047149673684254996
2024-04-11 10:57:46.739064,Random Forest,hfd,42.2365669726358,-0.5292799885208195,-0.01611034781670169
2024-04-11 10:57:46.795814,Support Vector Regression,hfd,29.001621061243114,-0.05007584428813816,-0.07701178746604476
2024-04-11 10:57:46.801491,Decision Tree,hfd,59.62277580071174,-1.1587909346696064,0.001355574322416938
2024-04-11 10:57:46.876982,Gradient Boosting,hfd,29.550807925251796,-0.06996052103355432,0.00721916044025111
2024-04-11 11:12:09.028042,Bayesian Ridge,mfcc1000,31.84023353434031,-0.02995968438313601,-0.05993609650117638
2024-04-11 11:12:24.904486,Linear Regression,mfcc1000,6.36604341364488e+23,-2.0592713486273335e+22,0.0038206309343555623
2024-04-11 12:48:29.824330,Random Forest,mfcc1000,31.241461973379124,-0.010590775945952258,0.13220014933819887
2024-04-11 12:49:24.900101,Support Vector Regression,mfcc1000,31.105559677452508,-0.006194643434281,0.0337404296856234
2024-04-11 12:50:30.481032,Decision Tree,mfcc1000,77.54251325088339,-1.5083252730548704,-0.06356833063284292
2024-04-11 13:12:08.053330,Gradient Boosting,mfcc1000,32.7064882404643,-0.05798106879768827,0.08426422447176467
2024-04-11 13:12:12.434190,Bayesian Ridge,mfccadv,31.349013452493654,-0.014069823527819825,0.0014512122338948353
2024-04-11 13:12:14.693478,Linear Regression,mfccadv,9.280509488420295e+18,-3.0020353378686694e+17,-0.11784569514596444
2024-04-11 13:17:08.427522,Random Forest,mfccadv,32.06099874774581,-0.037100940720866005,0.08969388713408287
2024-04-11 13:17:13.551154,Support Vector Regression,mfccadv,31.24202436088081,-0.010608967912198786,-0.021255223969527448
2024-04-11 13:17:19.827479,Decision Tree,mfccadv,66.25800506041966,-1.1432969047254185,0.007586005174872437
2024-04-11 13:19:28.072162,Gradient Boosting,mfccadv,34.74803285677432,-0.12402042891736054,-0.04053366322571597
2024-04-11 13:19:31.870506,Bayesian Ridge,mfccNRadv,31.260747635221954,-0.0112146235745616,0.03272125226671553
2024-04-11 13:19:33.523152,Linear Regression,mfccNRadv,2.140094538035031e+23,-6.922722763849547e+21,-0.04667977932967081
2024-04-11 13:22:50.623269,Random Forest,mfccNRadv,34.33160775001882,-0.11055001667743336,0.09565880358438776
2024-04-11 13:22:55.766803,Support Vector Regression,mfccNRadv,31.194846744393494,-0.009082878509154346,-0.010712211155284954
2024-04-11 13:23:00.190308,Decision Tree,mfccNRadv,71.92584958338786,-1.3266388814641568,-0.03573370989259676
2024-04-11 13:24:02.380740,Gradient Boosting,mfccNRadv,33.41395623888635,-0.08086606163481913,-0.011524886970624704
